,date,close,open,low,high,volume
103,2020-09-24 12-AM,10290.70248007,10274.1541633,10271.8795682,10297.7325521,53973.22096642
104,2020-09-24 01-AM,10301.55879553,10290.70248008,10273.31894727,10309.73280144,71247.49872757
105,2020-09-24 01-AM,10286.82677869,10301.55879553,10279.20240389,10312.57020044,165444.30385629
106,2020-09-24 02-AM,10315.66990431,10286.80494288,10282.28728257,10319.91768531,70314.06139427
107,2020-09-24 02-AM,10289.05776134,10316.18573796,10287.00000001,10338.26582336,109917.06051265
108,2020-09-24 03-AM,10313.5867867,10291.8165801,10290.53212225,10317.6728118,54588.06935042
109,2020-09-24 03-AM,10301.10297498,10313.5867867,10295.73270339,10319.25148285,104943.34142813
110,2020-09-24 04-AM,10305.62452967,10302.08649934,10296.01248888,10319.48992227,76643.752696
111,2020-09-24 04-AM,10280.24514569,10305.62452968,10278.09485761,10306.5679171,129843.41071966
112,2020-09-24 05-AM,10293.99999999,10280.24514569,10276.05756934,10298.93273404,81336.14753946
113,2020-09-24 05-AM,10291.24306781,10294.0,10271.40532238,10299.9833764,79758.42204041
114,2020-09-24 06-AM,10313.06866879,10287.63362891,10287.63362891,10322.39999999,149689.59530103
115,2020-09-24 06-AM,10289.61932327,10308.0,10282.55320408,10313.02807743,40601.49989262
116,2020-09-24 07-AM,10306.03765574,10289.61932327,10289.61932326,10316.0,119595.36724191
117,2020-09-24 07-AM,10342.76837659,10306.03765569,10298.7909299,10354.0,137902.7707561
118,2020-09-24 08-AM,10328.07591198,10348.53939387,10320.66123376,10351.30521095,267718.50129897
119,2020-09-24 08-AM,10315.15133043,10328.697,10307.98843659,10343.32346971,74410.59571098
120,2020-09-24 09-AM,10307.41728268,10316.0161902,10284.59983743,10316.0161902,52527.99082154
121,2020-09-24 09-AM,10324.35033623,10307.41728268,10292.22242444,10334.44735999,51728.46938454
122,2020-09-24 10-AM,10325.49593068,10327.28409986,10319.95058838,10334.23825415,84579.22008917
123,2020-09-24 10-AM,10372.67926881,10325.49593069,10317.32259669,10373.19738375,242016.45148881
124,2020-09-24 11-AM,10399.57238475,10371.50251961,10363.18702125,10435.20219494,299856.04895919
125,2020-09-24 11-AM,10409.50658181,10401.32094968,10393.04718969,10417.51690409,190510.25279421
126,2020-09-24 12-PM,10406.63688739,10410.48293596,10385.21802695,10425.09071062,112886.69318158
127,2020-09-24 12-PM,10380.25858756,10409.34987673,10368.07568816,10410.13930147,210081.10353134
128,2020-09-24 01-PM,10377.5632272,10380.25857756,10362.36396708,10393.98200491,130135.47595065
129,2020-09-24 01-PM,10375.85871581,10377.5632272,10333.46720911,10397.99999998,226201.40892347
130,2020-09-24 02-PM,10388.2513388,10375.85871582,10375.85871582,10419.28848338,161524.20248962
131,2020-09-24 02-PM,10409.16209991,10388.2513388,10369.59029258,10409.16209993,196045.3552973
132,2020-09-24 03-PM,10445.47812426,10410.38201436,10395.05395383,10465.0091705,120014.29383894
133,2020-09-24 03-PM,10542.76962039,10442.04449271,10442.04449271,10550.0,366051.85074644
134,2020-09-24 04-PM,10627.80621648,10544.80232346,10544.6948,10720.0,868128.20537924
135,2020-09-24 04-PM,10668.46376179,10627.09430887,10625.3282247,10673.69332488,208199.13600761
136,2020-09-24 05-PM,10693.60396212,10671.62719269,10649.61546256,10710.66851118,218216.6040301
137,2020-09-24 05-PM,10665.79798332,10693.6268791,10663.66467701,10707.92798658,217053.43784634
138,2020-09-24 06-PM,10640.38836351,10664.16518559,10631.92340001,10686.26489508,230883.70234474
139,2020-09-24 06-PM,10612.16924292,10640.3052626,10607.00010649,10653.99999998,289460.18649638
140,2020-09-24 07-PM,10606.60284497,10612.29049405,10599.0,10639.26721417,289249.3510369
141,2020-09-24 07-PM,10655.11799264,10606.42849866,10606.40284498,10666.99999998,292472.4343631
142,2020-09-24 08-PM,10648.06849664,10651.10247915,10644.99848048,10666.99999998,123487.37961182
143,2020-09-24 08-PM,10625.32409302,10648.46332253,10625.32409302,10663.75420184,153571.48653553
144,2020-09-24 09-PM,10652.89999998,10621.77245252,10619.37620006,10671.47434524,176400.14258528
145,2020-09-24 09-PM,10644.66578523,10650.0,10638.00000003,10652.33621684,60409.8596804
146,2020-09-24 10-PM,10686.92446519,10644.66578528,10635.50692074,10705.78273018,139595.66134485
147,2020-09-24 10-PM,10761.97599999,10686.9244652,10671.69841535,10787.23645076,224197.54137175
148,2020-09-24 11-PM,10738.24472823,10761.97599999,10718.30200001,10766.6504753,85056.13997314
149,2020-09-24 11-PM,10736.12604299,10741.1990953,10718.30200001,10744.23354834,23459.49194345
150,2020-09-25 12-AM,10705.59670028,10732.90637947,10697.68989575,10755.36163631,119654.08121873
151,2020-09-25 12-AM,10709.99999999,10705.06151868,10691.61623404,10713.70475098,80148.10227922
152,2020-09-25 01-AM,10722.72035883,10707.49471896,10699.46743559,10729.15080499,64695.81505945
153,2020-09-25 01-AM,10687.24769241,10722.72035883,10684.82732367,10722.72035884,78589.77298679
154,2020-09-25 02-AM,10699.71156402,10687.2476924,10684.86406952,10709.05233041,99601.57274553
155,2020-09-25 02-AM,10710.67405064,10699.71156402,10691.13153078,10726.08409987,91081.9612692
156,2020-09-25 03-AM,10712.57873172,10710.67405063,10694.43480786,10716.40746235,61387.91479426
157,2020-09-25 03-AM,10667.380853,10712.57873174,10665.05866031,10717.0,73047.93173248
158,2020-09-25 04-AM,10690.20684202,10669.98652389,10659.24297424,10690.20684202,100899.86136582
159,2020-09-25 04-AM,10676.5956111,10690.04284801,10673.04602203,10691.27651519,164569.49511252
160,2020-09-25 05-AM,10680.05711568,10678.53263473,10657.33177321,10680.05711568,57917.97237793
161,2020-09-25 05-AM,10642.20136663,10676.77847766,10641.90751424,10683.03098255,302171.64379367
162,2020-09-25 06-AM,10655.94053514,10643.99457707,10617.5863558,10660.83330872,404577.64997806
163,2020-09-25 06-AM,10688.5874681,10656.47339967,10645.43487899,10695.40194166,122540.86812156
164,2020-09-25 07-AM,10688.80452461,10689.64712413,10667.96793821,10700.8598847,271214.6546254
165,2020-09-25 07-AM,10685.86316738,10688.80452464,10683.00020841,10700.24937769,261038.12184181
166,2020-09-25 08-AM,10663.70891617,10685.86316737,10659.05770234,10685.86316737,387107.07507483
167,2020-09-25 08-AM,10600.73339265,10661.06853008,10578.12739631,10661.06853008,461057.95671785
168,2020-09-25 09-AM,10619.55661598,10600.00000001,10595.52979825,10644.72459037,437728.94315766
169,2020-09-25 09-AM,10587.729407,10620.99179512,10557.60482147,10621.09638793,365124.74076152
170,2020-09-25 10-AM,10596.23991347,10590.64028434,10576.87682027,10619.3373273,227239.17639544
171,2020-09-25 10-AM,10589.93713166,10594.65070648,10585.49375044,10605.55246894,86866.07349002
172,2020-09-25 11-AM,10609.74710574,10589.93713165,10569.02851802,10616.42739586,210876.10314371
173,2020-09-25 11-AM,10628.99187797,10609.87810404,10590.54267898,10649.99999998,189899.44364696
174,2020-09-25 12-PM,10607.41442698,10620.24483628,10598.90360012,10679.24854679,111700.58846342
175,2020-09-25 12-PM,10612.72326827,10603.60328089,10586.32419182,10625.79725841,58020.56791326
176,2020-09-25 01-PM,10610.97189263,10612.72326827,10608.69880458,10639.21145757,107373.79610621
177,2020-09-25 01-PM,10612.75383593,10612.10173863,10587.22389819,10633.0507518,181589.00983431
178,2020-09-25 02-PM,10613.06720868,10612.61154715,10553.55037176,10613.0672087,210636.23625369
179,2020-09-25 02-PM,10626.92697412,10609.48112816,10605.38125918,10633.35470055,136530.43248337
180,2020-09-25 03-PM,10646.26410039,10624.96012603,10567.40316778,10650.0,468265.3322331
181,2020-09-25 03-PM,10645.05868974,10646.98847321,10636.47645284,10663.31486587,199341.63609981
182,2020-09-25 04-PM,10641.93747903,10644.8699249,10628.77241102,10662.39412988,107950.30766639
183,2020-09-25 04-PM,10646.51406841,10642.62120196,10622.63628839,10646.51406841,83821.49809261
184,2020-09-25 05-PM,10655.88674965,10644.65155813,10633.51382107,10663.90699997,168269.02632899
185,2020-09-25 05-PM,10691.49777424,10655.88674966,10651.23186596,10710.11917809,348002.71873938
